year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2019,Idaho,55785,73810,1717750,1667181,1545409,11918,24287,60945,13.1,4.3,451807,11116,59841,67892,110424,69380
2019,Illinois,65886,92395,12770631,12442185,9134903,1813590,698524,885687,12.5,5.9,3228360,164576,741538,653267,1102437,512783
2019,Indiana,56303,75025,6665703,6495992,5553391,626587,151979,210480,13.4,4.8,1668419,67939,269165,252887,436936,213168
2019,Iowa,60523,78411,3139508,3072923,2826070,116359,75741,99826,11.5,3.7,797393,35516,137604,132660,211735,115832
2019,Kansas,59597,80009,2910652,2810095,2455935,170291,85794,126024,12,4.1,772562,32086,139634,131626,236818,126992
2019,Kentucky,50589,70144,4449052,4348767,3868479,358928,65191,103404,17.3,5.6,1054000,37297,163311,159768,268958,139045
2019,Louisiana,49469,71001,4664362,4569403,2892275,1502963,80806,114467,19.2,6.5,1154067,33931,180752,158473,264062,150298
2019,Maine,57918,76227,1335492,1305696,1259522,18468,15109,20835,11.8,4.1,283155,12150,55350,55879,117323,81336
2019,Maryland,84805,111417,6018848,5812156,3343003,1799094,378126,441608,9.2,5.1,1536208,76793,351079,348642,651295,311708
2019,Massachusetts,81215,111498,6850553,6627518,5348538,522357,452436,535859,10.3,4.8,1723161,128997,513770,415088,777572,382635
2019,Michigan,57144,78400,9965265,9674006,7813755,1374314,311721,326181,14.4,5.9,2451348,104320,420513,395899,760566,408192
2019,Minnesota,71306,93925,5563378,5397982,4609049,356515,268181,228066,9.7,3.6,1395300,70263,316807,292700,503226,246434
2019,Mississippi,45081,62835,2984418,2944122,1743217,1125623,29605,42569,20.3,7.5,769205,19428,88220,90845,162122,93966
2019,Missouri,55461,76060,6104910,5944542,5015904,701334,120654,133228,13.7,4.6,1480841,60191,277642,256926,445327,232667
2019,Montana,54970,74190,1050649,1018488,930204,5303,8259,10368,13.1,4,238987,8747,44341,45978,84058,57292
2019,Nebraska,61439,80208,1914571,1864185,1666871,92406,45655,84191,11.1,3.3,506713,23682,96464,90275,138921,73565
2019,Nevada,60365,81496,2972382,2825974,1949707,271005,242267,291093,13.1,6.2,699523,14260,101540,101290,183563,119298
2019,New Hampshire,76768,99165,1348124,1319843,1252128,21546,36180,36345,7.6,3.6,306551,17494,67620,64783,144425,78909
2019,New Jersey,82545,114691,8878503,8634958,6018074,1194882,840168,866701,10,5.5,2206536,129561,521946,527955,960241,430809
2019,New Mexico,49754,69077,2092454,2024190,1565366,44120,32577,116211,19.1,6.7,532619,12538,66095,65962,143256,108206
2019,New York,68486,101945,19572319,18956062,12459687,3065471,1647606,1885643,14.1,5.5,4723073,307095,1307435,1023449,1750626,904297
2019,North Carolina,54602,76940,10264876,9991600,7049919,2200761,292992,497991,14.7,5.6,2518907,101494,462562,469002,829660,421629
2019,North Dakota,64894,85476,756717,737105,655136,21985,11006,18414,10.7,2.8,184783,11083,41343,33150,49340,24924
2019,Ohio,56602,76958,11655397,11319971,9476047,1446193,258199,258221,14,5.3,2819381,111316,507248,470757,846066,431255
2019,Oklahoma,52919,72695,3932870,3628255,2844070,286356,85239,150583,15.7,5.1,1002998,29187,141166,135654,240831,143858
2019,Oregon,62818,84258,4129803,3931451,3480920,78679,180580,224600,13.2,5.5,954416,36251,206602,210599,338640,220079
2019,Pennsylvania,61744,84849,12791530,12471656,10300602,1430664,436324,412209,12.4,5.3,2950731,150336,662103,572883,1037418,541881
2019,Rhode Island,67167,89093,1057231,1022010,850597,71561,35958,62723,12.4,5.4,257417,14384,56223,46444,98035,51416
